run_accession	sample_accession	study_accession	tax_id	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
SRR18360270	SAMN26664809	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/070/SRR18360270/SRR18360270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/070/SRR18360270/SRR18360270_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/070/SRR18360270	LC_S_C1	
SRR18360192	SAMN26664876	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/092/SRR18360192/SRR18360192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/092/SRR18360192/SRR18360192_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/092/SRR18360192	LC_15_N	
SRR18360197	SAMN26664887	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/097/SRR18360197/SRR18360197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/097/SRR18360197/SRR18360197_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/097/SRR18360197	LC_21_C	
SRR18360205	SAMN26664879	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/005/SRR18360205/SRR18360205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/005/SRR18360205/SRR18360205_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/005/SRR18360205	LC_17_C	
SRR18360207	SAMN26664878	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/007/SRR18360207/SRR18360207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/007/SRR18360207/SRR18360207_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/007/SRR18360207	LC_16_N	
SRR18360211	SAMN26664856	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/011/SRR18360211/SRR18360211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/011/SRR18360211/SRR18360211_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/011/SRR18360211	LC_5_N	
SRR18360217	SAMN26664861	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/017/SRR18360217/SRR18360217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/017/SRR18360217/SRR18360217_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/017/SRR18360217	LC_8_C	
SRR18360219	SAMN26664863	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/019/SRR18360219/SRR18360219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/019/SRR18360219/SRR18360219_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/019/SRR18360219	LC_9_C	
SRR18360222	SAMN26664866	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/022/SRR18360222/SRR18360222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/022/SRR18360222/SRR18360222_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/022/SRR18360222	LC_10_N	
SRR18360224	SAMN26664868	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/024/SRR18360224/SRR18360224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/024/SRR18360224/SRR18360224_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/024/SRR18360224	LC_11_N	
